"Site","SC.Category","SC.Level","Sample.Date","Sample.Month","Fraction","Replicate","Genus","Length","Abundance","Biomass"
"EAS","REF","25","9/19/23","September","> 1",2,"Cheumatopsyche",6,1,0.544484622
"EAS","REF","25","9/19/23","September","> 1",2,"Chironomidae",3,1,0.012582795
"EAS","REF","25","9/19/23","September","> 1",2,"Chironomidae",5,2,0.103592463
"EAS","REF","25","9/19/23","September","> 1",2,"Chironomidae",6,2,0.171656483
"EAS","REF","25","9/19/23","September","> 1",2,"Chironomidae",7,1,0.131544538
"EAS","REF","25","9/19/23","September","> 1",2,"Cyrnellus",8,1,1.370815814
"EAS","REF","25","9/19/23","September","> 1",2,"Hexatoma",6,1,0.439875665
"EAS","REF","25","9/19/23","September","> 1",2,"Hexatoma",10,1,1.656720669
"EAS","REF","25","9/19/23","September","> 1",2,"Hexatoma",12,1,2.659523334
"EAS","REF","25","9/19/23","September","> 1",2,"Hydropsyche",4,2,0.511466964
"EAS","REF","25","9/19/23","September","> 1",2,"Hydropsyche",5,1,0.48024347
"EAS","REF","25","9/19/23","September","> 1",2,"Paraleptophlebia",3,1,0.0937612563
"EAS","REF","25","9/19/23","September","> 1",2,"Probezzia",7,1,0.3467276304
"EAS","REF","25","9/19/23","September","> 1",2,"Rhagovelia",3,7,1.227840224
"EAS","REF","25","9/19/23","September","> 1",2,"Stenelmis (A)",2,1,0.73283
"EAS","REF","25","9/19/23","September","> 1",2,"Stenelmis",2,4,2.494294099
"EAS","REF","25","9/19/23","September","> 1",2,"Stenelmis",3,1,1.711413301
"EAS","REF","25","9/19/23","September","> 1",2,"Stenonema",5,1,0.86241341
"EAS","REF","25","9/19/23","September","> 1",2,"Tanytarsini",3,1,0.016020526
"EAS","REF","25","9/19/23","September","> 1",2,"Tanytarsini",4,3,0.105349117
"EAS","REF","25","9/19/23","September","> 1",2,"Tanytarsini",5,2,0.129095218
"EAS","REF","25","9/19/23","September","> 1",3,"Acroneuria",2,1,0.017851822
"EAS","REF","25","9/19/23","September","> 1",3,"Acroneuria",3,9,0.5957334768
"EAS","REF","25","9/19/23","September","> 1",3,"Acroneuria",4,2,0.3354605762
"EAS","REF","25","9/19/23","September","> 1",3,"Acroneuria",5,1,0.3450044168
"EAS","REF","25","9/19/23","September","> 1",3,"Acroneuria",19,1,25.80389341
"EAS","REF","25","9/19/23","September","> 1",3,"Alloperla",3,5,0.6180733123
"EAS","REF","25","9/19/23","September","> 1",3,"Alloperla",4,2,0.5412938609
"EAS","REF","25","9/19/23","September","> 1",3,"Alloperla",6,1,0.8167247103
"EAS","REF","25","9/19/23","September","> 1",3,"Baetis",3,1,0.146132525
"EAS","REF","25","9/19/23","September","> 1",3,"Baetis",4,5,1.584626934
"EAS","REF","25","9/19/23","September","> 1",3,"Baetis",5,1,0.577752554
"EAS","REF","25","9/19/23","September","> 1",3,"Capniidae",1,4,0.016
"EAS","REF","25","9/19/23","September","> 1",3,"Capniidae",2,14,0.313942149
"EAS","REF","25","9/19/23","September","> 1",3,"Chironomini",3,1,0.017929162
"EAS","REF","25","9/19/23","September","> 1",3,"Chironomini",7,1,0.21868926
"EAS","REF","25","9/19/23","September","> 1",3,"Cyrnellus",2,5,0.205180117
"EAS","REF","25","9/19/23","September","> 1",3,"Cyrnellus",3,6,0.687073969
"EAS","REF","25","9/19/23","September","> 1",3,"Cyrnellus",4,1,0.23717679
"EAS","REF","25","9/19/23","September","> 1",3,"Dicranota",6,1,0.304332695
"EAS","REF","25","9/19/23","September","> 1",3,"Diplectrona",2,5,0.150613768
"EAS","REF","25","9/19/23","September","> 1",3,"Diplectrona",3,16,1.394356258
"EAS","REF","25","9/19/23","September","> 1",3,"Diplectrona",4,6,1.111077896
"EAS","REF","25","9/19/23","September","> 1",3,"Diplectrona",5,6,1.993649195
"EAS","REF","25","9/19/23","September","> 1",3,"Diplectrona",6,3,1.607213645
"EAS","REF","25","9/19/23","September","> 1",3,"Diplectrona",7,2,1.604659681
"EAS","REF","25","9/19/23","September","> 1",3,"Diplectrona",8,1,1.138392028
"EAS","REF","25","9/19/23","September","> 1",3,"Ectopria",2,1,0.124899502
"EAS","REF","25","9/19/23","September","> 1",3,"Ectopria",3,3,1.228720935
"EAS","REF","25","9/19/23","September","> 1",3,"Ectopria",4,1,0.95121253
"EAS","REF","25","9/19/23","September","> 1",3,"Ectopria",6,2,6.238480991
"EAS","REF","25","9/19/23","September","> 1",3,"Ectopria",7,1,4.899322266
"EAS","REF","25","9/19/23","September","> 1",3,"Ephemera",4,1,0.093337785
"EAS","REF","25","9/19/23","September","> 1",3,"Ephemera",5,2,0.343819253
"EAS","REF","25","9/19/23","September","> 1",3,"Eurylophella",2,2,0.101335791
"EAS","REF","25","9/19/23","September","> 1",3,"Glossosoma",5,1,0.960313866
"EAS","REF","25","9/19/23","September","> 1",3,"Hexatoma",9,2,2.520535628
"EAS","REF","25","9/19/23","September","> 1",3,"Hexatoma",12,1,2.659523334
"EAS","REF","25","9/19/23","September","> 1",3,"Hydropsyche",4,1,0.255733482
"EAS","REF","25","9/19/23","September","> 1",3,"Hydropsyche",5,3,1.44073041
"EAS","REF","25","9/19/23","September","> 1",3,"Hydropsyche",7,3,3.726046718
"EAS","REF","25","9/19/23","September","> 1",3,"Hydropsyche",8,1,1.810907633
"EAS","REF","25","9/19/23","September","> 1",3,"Leuctra",3,1,0.057874322
"EAS","REF","25","9/19/23","September","> 1",3,"Orthocladine",3,1,0.023793663
"EAS","REF","25","9/19/23","September","> 1",3,"Orthocladine",4,2,0.091012954
"EAS","REF","25","9/19/23","September","> 1",3,"Orthocladine",5,2,0.150500652
"EAS","REF","25","9/19/23","September","> 1",3,"Oulimnius(A)",2,2,0.12774
"EAS","REF","25","9/19/23","September","> 1",3,"Oulimnius",1,1,0.0138
"EAS","REF","25","9/19/23","September","> 1",3,"Oulimnius",2,13,1.054129268
"EAS","REF","25","9/19/23","September","> 1",3,"Oulimnius",3,2,0.456939249
"EAS","REF","25","9/19/23","September","> 1",3,"Paracapnia",2,1,0.022424439
"EAS","REF","25","9/19/23","September","> 1",3,"Paraleptophlebia",2,5,0.1436015502
"EAS","REF","25","9/19/23","September","> 1",3,"Paraleptophlebia",3,9,0.8438513069
"EAS","REF","25","9/19/23","September","> 1",3,"Probezzia",4,1,0.0909162343
"EAS","REF","25","9/19/23","September","> 1",3,"Probezzia",5,2,0.3100845913
"EAS","REF","25","9/19/23","September","> 1",3,"Probezzia",6,4,0.9592056365
"EAS","REF","25","9/19/23","September","> 1",3,"Probezzia",7,2,0.6934552609
"EAS","REF","25","9/19/23","September","> 1",3,"Pupa",7,1,0.131544538
"EAS","REF","25","9/19/23","September","> 1",3,"Pupa",3,1,0.02592
"EAS","REF","25","9/19/23","September","> 1",3,"Rhagovelia",4,2,0.779881618
"EAS","REF","25","9/19/23","September","> 1",3,"Stenonema",2,2,0.156940284
"EAS","REF","25","9/19/23","September","> 1",3,"Stylogomphus",3,1,0.233366099
"EAS","REF","25","9/19/23","September","> 1",3,"Stylogomphus",4,1,0.536704713
"EAS","REF","25","9/19/23","September","> 1",3,"Tanypodinae",3,1,0.003802506
"EAS","REF","25","9/19/23","September","> 1",3,"Tanypodinae",5,1,0.003803671
"EAS","REF","25","9/19/23","September","> 1",3,"Tanytarsini",3,4,0.064082104
"EAS","REF","25","9/19/23","September","> 1",3,"Tanytarsini",4,15,0.526745583
"EAS","REF","25","9/19/23","September","> 1",3,"Tanytarsini",5,2,0.129095218
"EAS","REF","25","9/19/23","September","> 1",4,"Acroneuria",2,1,0.017851822
"EAS","REF","25","9/19/23","September","> 1",4,"Acroneuria",3,1,0.0661926085
"EAS","REF","25","9/19/23","September","> 1",4,"Capniidae",2,1,0.022424439
"EAS","REF","25","9/19/23","September","> 1",4,"Dicranota",6,1,0.304332695
"EAS","REF","25","9/19/23","September","> 1",4,"Ectopria",3,1,0.409573645
"EAS","REF","25","9/19/23","September","> 1",4,"Ectopria",5,3,5.485904531
"EAS","REF","25","9/19/23","September","> 1",4,"Rhagovelia",4,1,0.389940809
"EAS","REF","25","9/19/23","September","> 1",4,"Stylogomphus",5,1,1.023976281
"EAS","REF","25","9/19/23","September","> 1",5,"Acerpenna",4,2,0.633850773
"EAS","REF","25","9/19/23","September","> 1",5,"Acroneuria",2,1,0.017851822
"EAS","REF","25","9/19/23","September","> 1",5,"Acroneuria",3,6,0.3971556512
"EAS","REF","25","9/19/23","September","> 1",5,"Alloperla",4,1,0.2706469304
"EAS","REF","25","9/19/23","September","> 1",5,"Alloperla",5,1,0.4970338664
"EAS","REF","25","9/19/23","September","> 1",5,"Capniidae",2,1,0.022424439
"EAS","REF","25","9/19/23","September","> 1",5,"Cernotina",2,1,0.0359402
"EAS","REF","25","9/19/23","September","> 1",5,"Cernotina",3,1,0.0539103
"EAS","REF","25","9/19/23","September","> 1",5,"Cernotina",4,1,0.0718804
"EAS","REF","25","9/19/23","September","> 1",5,"Collembola",4,1,0.392088198
"EAS","REF","25","9/19/23","September","> 1",5,"Cyrnellus",2,1,0.041036023
"EAS","REF","25","9/19/23","September","> 1",5,"Cyrnellus",3,2,0.229024656
"EAS","REF","25","9/19/23","September","> 1",5,"Diplectrona",2,1,0.030122754
"EAS","REF","25","9/19/23","September","> 1",5,"Diplectrona",5,1,0.332274866
"EAS","REF","25","9/19/23","September","> 1",5,"Diplectrona",6,1,0.535737882
"EAS","REF","25","9/19/23","September","> 1",5,"Dixa",6,1,0.0043
"EAS","REF","25","9/19/23","September","> 1",5,"Ectopria",2,1,0.124899502
"EAS","REF","25","9/19/23","September","> 1",5,"Ectopria",3,3,1.228720935
"EAS","REF","25","9/19/23","September","> 1",5,"Ephemera",4,1,0.093337785
"EAS","REF","25","9/19/23","September","> 1",5,"Hexatoma",3,1,0.072753865
"EAS","REF","25","9/19/23","September","> 1",5,"Hexatoma",5,1,0.274015684
"EAS","REF","25","9/19/23","September","> 1",5,"Hexatoma",9,1,1.260267814
"EAS","REF","25","9/19/23","September","> 1",5,"Hexatoma",11,1,2.121801251
"EAS","REF","25","9/19/23","September","> 1",5,"Hydropsyche",8,1,1.810907633
"EAS","REF","25","9/19/23","September","> 1",5,"Isoperla",1,1,0.01
"EAS","REF","25","9/19/23","September","> 1",5,"Isoperla",2,1,0.063115747
"EAS","REF","25","9/19/23","September","> 1",5,"Isoperla",3,4,0.74173417
"EAS","REF","25","9/19/23","September","> 1",5,"Leuctra",4,1,0.125623495
"EAS","REF","25","9/19/23","September","> 1",5,"Leuctra",5,1,0.229164028
"EAS","REF","25","9/19/23","September","> 1",5,"Orthocladine",4,2,0.091012954
"EAS","REF","25","9/19/23","September","> 1",5,"Oulimnius(A)",1,2,0.12774
"EAS","REF","25","9/19/23","September","> 1",5,"Oulimnius",3,2,0.456939249
"EAS","REF","25","9/19/23","September","> 1",5,"Paraleptophlebia",2,3,0.0861609301
"EAS","REF","25","9/19/23","September","> 1",5,"Paraleptophlebia",3,4,0.3750450253
"EAS","REF","25","9/19/23","September","> 1",5,"Probezzia",4,1,0.0909162343
"EAS","REF","25","9/19/23","September","> 1",5,"Probezzia",5,3,0.465126887
"EAS","REF","25","9/19/23","September","> 1",5,"Probezzia",7,1,0.3467276304
"EAS","REF","25","9/19/23","September","> 1",5,"Pupa",3,1,0.02592
"EAS","REF","25","9/19/23","September","> 1",5,"Tanytarsini",4,5,0.175581861
"EAS","REF","25","9/19/23","September","> 1",5,"Tanytarsini",5,3,0.193642827
"FRY","MID","402","9/19/23","September","> 1",1,"Acroneuria",7,1,1.023553308
"FRY","MID","402","9/19/23","September","> 1",1,"Adult",1,1,0.04142
"FRY","MID","402","9/19/23","September","> 1",1,"Leuctra",4,1,0.125623495
"FRY","MID","402","9/19/23","September","> 1",1,"Leuctra",5,1,0.229164028
"FRY","MID","402","9/19/23","September","> 1",1,"Orthocladine",3,1,0.023793663
"FRY","MID","402","9/19/23","September","> 1",1,"Oulimnius",3,2,0.456939249
"FRY","MID","402","9/19/23","September","> 1",1,"Polycentropodidae",3,1,0.114512328
"FRY","MID","402","9/19/23","September","> 1",1,"Polycentropodidae",4,1,0.23717679
"FRY","MID","402","9/19/23","September","> 1",1,"Psephenus",9,1,4.340821024
"FRY","MID","402","9/19/23","September","> 1",1,"Stagnicola",2,2,0.458193782
"FRY","MID","402","9/19/23","September","> 1",1,"Stenonema",4,1,0.481059623
"FRY","MID","402","9/19/23","September","> 1",2,"Acroneuria",4,1,0.1677302881
"FRY","MID","402","9/19/23","September","> 1",2,"Acroneuria",7,1,1.023553308
"FRY","MID","402","9/19/23","September","> 1",2,"Ectopria",2,7,0.874296511
"FRY","MID","402","9/19/23","September","> 1",2,"Ectopria",5,1,1.828634844
"FRY","MID","402","9/19/23","September","> 1",2,"Eurylophella",1,1,0.008
"FRY","MID","402","9/19/23","September","> 1",2,"Hydropsyche",5,1,0.48024347
"FRY","MID","402","9/19/23","September","> 1",2,"Leuctra",5,1,0.229164028
"FRY","MID","402","9/19/23","September","> 1",2,"Orthocladine",9,1,0.283069196
"FRY","MID","402","9/19/23","September","> 1",2,"Oulimnius(A)",3,1,0.06387
"FRY","MID","402","9/19/23","September","> 1",2,"Oulimnius",3,1,0.228469625
"FRY","MID","402","9/19/23","September","> 1",2,"Oulimnius",5,1,0.842573224
"FRY","MID","402","9/19/23","September","> 1",2,"Pupa",4,3,0.430826123
"FRY","MID","402","9/19/23","September","> 1",2,"Tanypodinae",5,1,0.003803671
"FRY","MID","402","9/19/23","September","> 1",3,"Cernotina",9,1,0.1617309
"FRY","MID","402","9/19/23","September","> 1",3,"Cyrnellus",3,1,0.114512328
"FRY","MID","402","9/19/23","September","> 1",3,"Ectopria",2,3,0.374698505
"FRY","MID","402","9/19/23","September","> 1",3,"Ectopria",5,1,1.828634844
"FRY","MID","402","9/19/23","September","> 1",3,"Ephemerellidae",6,1,1.6756627
"FRY","MID","402","9/19/23","September","> 1",3,"Ephemerellidae",7,1,2.620187028
"FRY","MID","402","9/19/23","September","> 1",3,"Ephemerellidae",8,1,3.859303546
"FRY","MID","402","9/19/23","September","> 1",3,"Hydropsyche",6,2,1.607308727
"FRY","MID","402","9/19/23","September","> 1",3,"Hydropsyche",9,1,2.525521225
"FRY","MID","402","9/19/23","September","> 1",3,"Leuctra",5,1,0.229164028
"FRY","MID","402","9/19/23","September","> 1",3,"Leuctra",6,1,0.374507676
"FRY","MID","402","9/19/23","September","> 1",3,"Microvelia",2,2,0.113780644
"FRY","MID","402","9/19/23","September","> 1",3,"Rhagovelia",4,1,0.389940809
"FRY","MID","402","9/19/23","September","> 1",3,"Stenonema",4,1,0.481059623
"FRY","MID","402","9/19/23","September","> 1",4,"Acroneuria",6,1,0.621925612
"FRY","MID","402","9/19/23","September","> 1",4,"Acroneuria",7,1,1.023553308
"FRY","MID","402","9/19/23","September","> 1",4,"Acroneuria",12,1,5.843423842
"FRY","MID","402","9/19/23","September","> 1",4,"Acroneuria",18,1,21.6667782
"FRY","MID","402","9/19/23","September","> 1",4,"Chelifera",5,1,0.286962636
"FRY","MID","402","9/19/23","September","> 1",4,"Diplectrona",5,1,0.332274866
"FRY","MID","402","9/19/23","September","> 1",4,"Diplectrona",6,2,1.071475763
"FRY","MID","402","9/19/23","September","> 1",4,"Diplectrona",7,1,0.80232984
"FRY","MID","402","9/19/23","September","> 1",4,"Ectopria",2,6,0.74939701
"FRY","MID","402","9/19/23","September","> 1",4,"Ectopria",3,1,0.409573645
"FRY","MID","402","9/19/23","September","> 1",4,"Orthocladine",5,1,0.075250326
"FRY","MID","402","9/19/23","September","> 1",4,"Psephenus",8,2,6.182002172
"FRY","MID","402","9/19/23","September","> 1",4,"Psephenus",9,1,4.340821024
"FRY","MID","402","9/19/23","September","> 1",4,"Rhagovelia",3,1,0.175405746
"FRY","MID","402","9/19/23","September","> 1",4,"Stenonema",5,1,0.86241341
"FRY","MID","402","9/19/23","September","> 1",5,"Dixa",5,1,0.0043
"FRY","MID","402","9/19/23","September","> 1",5,"Ectopria",2,1,0.124899502
"FRY","MID","402","9/19/23","September","> 1",5,"Hydropsyche",9,1,2.525521225
"FRY","MID","402","9/19/23","September","> 1",5,"Leuctra",5,2,0.458328055
"FRY","MID","402","9/19/23","September","> 1",5,"Microvelia",2,1,0.056890322
"FRY","MID","402","9/19/23","September","> 1",5,"Orthocladine",4,1,0.045506477
"FRY","MID","402","9/19/23","September","> 1",5,"Stenonema",4,1,0.481059623
"FRY","MID","402","9/19/23","September","> 1",5,"Terrestrial",7,1,3.071935248
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Antocha",2,1,0.022308536
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Cheumatopsyche",3,1,0.088570079
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Ectopria",2,1,0.124899502
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Hetaerina",3,1,0.101680222
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Hexatoma",5,1,0.274015684
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Leuctra",3,1,0.057874322
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Oulimnius",2,1,0.081086867
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Oulimnius",3,1,0.228469625
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Tanypodinae",7,1,0.003804439
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Tanytarsini",2,2,0.010600584
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Tanytarsini",3,1,0.016020526
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Acroneuria",4,2,0.3354605762
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Acroneuria",5,1,0.3450044168
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Acroneuria",6,1,0.621925612
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Acroneuria",7,1,1.023553308
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Atherix",3,1,0.651057223
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Cheumatopsyche",4,2,0.376405981
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Cheumatopsyche",5,5,1.688498808
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Cheumatopsyche",6,1,0.544484622
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Cheumatopsyche",7,4,3.261716412
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Cheumatopsyche",8,6,6.941868124
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Cheumatopsyche",9,1,1.575232696
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Cheumatopsyche",10,2,4.152019059
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Ectopria",2,1,0.124899502
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Ectopria",3,1,0.409573645
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Hydropsyche",3,1,0.113490785
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Hydropsyche",4,1,0.255733482
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Hydropsyche",6,1,0.803654364
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Hydropsyche",7,1,1.242015573
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Hydropsyche",8,2,3.621815267
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Hydropsyche",9,1,2.525521225
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Leuctra",2,1,0.019413152
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Leuctra",5,6,1.374984165
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Leuctra",6,3,1.123523027
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Leuctra",7,1,0.567303384
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Microvelia",2,1,0.056890322
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Orthocladine",2,1,0.009540071
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Orthocladine",3,5,0.118968314
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Orthocladine",4,4,0.182025909
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Oulimnius(A)",2,6,0.38322
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Oulimnius(A)",3,2,0.12774
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Oulimnius",2,5,0.405434334
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Oulimnius",3,5,1.142348123
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Oulimnius",4,3,1.429365209
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Oulimnius",5,4,3.370292895
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Oulimnius",6,2,2.684911015
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Probezzia",7,1,0.3467276304
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Psephenus",8,2,6.182002172
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Tanypodinae",4,3,0.011409486
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Tanytarsini",2,1,0.005300292
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Acroneuria",15,1,12.01933805
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Cheumatopsyche",4,1,0.188202991
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Cheumatopsyche",5,1,0.337699762
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Cheumatopsyche",6,2,1.088969245
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Cheumatopsyche",7,4,3.261716412
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Cheumatopsyche",8,1,1.156978021
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Cheumatopsyche",9,1,1.575232696
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Diplectrona",5,1,0.332274866
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Ectopria",5,2,3.657269687
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Ectopria",6,1,3.119240495
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Hexatoma",8,1,0.928262693
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Hexatoma",16,1,5.612350239
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Hexatoma",18,1,7.619679663
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Hydropsyche",4,1,0.255733482
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Hydropsyche",5,3,1.44073041
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Hydropsyche",6,4,3.214617455
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Hydropsyche",7,1,1.242015573
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Hydropsyche",8,6,10.8654458
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Hydropsyche",9,4,10.1020849
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Hydropsyche",11,2,8.902113244
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Leuctra",5,7,1.604148193
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Leuctra",6,9,3.370569082
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Orthocladine",5,1,0.075250326
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Oulimnius(A)",2,1,0.06387
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Pupa",15,1,32.4
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Pupa",17,1,47.1648
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Stylogomphus",4,1,0.536704713
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Stylogomphus",8,1,3.99224556
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Stylogomphus",21,1,65.25241544
"RIC","HIGH","1457","9/19/23","September","> 1",3,"Tipula",10,1,1.774924867
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Acroneuria",7,1,1.023553308
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Boyeria",11,1,6.970300085
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Cernotina",2,1,0.0359402
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Cheumatopsyche",3,1,0.088570079
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Cheumatopsyche",4,3,0.564608972
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Cheumatopsyche",5,4,1.350799047
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Cheumatopsyche",6,11,5.989330847
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Cheumatopsyche",7,8,6.523432825
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Cheumatopsyche",8,4,4.627912083
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Ectopria",2,1,0.124899502
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Ectopria",3,1,0.409573645
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Ectopria",4,1,0.95121253
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Hydropsyche",6,1,0.803654364
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Hydropsyche",7,1,1.242015573
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Leuctra",4,5,0.628117474
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Leuctra",5,4,0.91665611
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Leuctra",6,8,2.996061406
"RIC","HIGH","1457","9/19/23","September","> 1",4,"Oulimnius(A)",3,1,0.06387
