"Site","SC.Category","SC.Level","Sample.Date","Sample.Month","Fraction","Replicate","Genus","Length","Abundance","Biomass","Density","Biomass.Area.Corrected"
"EAS","REF","25","9/19/23","September","> 1",3,"Orthocladine",4,2,0.091012954,21.5285252960172,1.95937468245425
"EAS","REF","25","9/19/23","September","> 1",3,"Orthocladine",5,2,0.150500652,21.5285252960172,3.24005709364909
"EAS","REF","25","9/19/23","September","> 1",3,"Oulimnius",1,1,0.0138,10.7642626480086,0.148546824542519
"EAS","REF","25","9/19/23","September","> 1",3,"Oulimnius",2,13,1.054129268,139.935414424112,147.510015974166
"EAS","REF","25","9/19/23","September","> 1",3,"Oulimnius",3,2,0.456939249,21.5285252960172,9.83722818083961
"EAS","REF","25","9/19/23","September","> 1",3,"Paracapnia",2,1,0.022424439,10.7642626480086,0.241382551130248
"EAS","REF","25","9/19/23","September","> 1",3,"Paraleptophlebia",2,5,0.1436015502,53.8213132400431,7.72882401506997
"EAS","REF","25","9/19/23","September","> 1",3,"Paraleptophlebia",3,9,0.8438513069,96.8783638320775,81.7509339300323
"EAS","REF","25","9/19/23","September","> 1",3,"Probezzia",4,1,0.0909162343,10.7642626480086,0.978646224973089
"EAS","REF","25","9/19/23","September","> 1",3,"Probezzia",5,2,0.3100845913,21.5285252960172,6.67566396770721
"EAS","REF","25","9/19/23","September","> 1",3,"Probezzia",6,4,0.9592056365,43.0570505920345,41.3005656189451
"EAS","REF","25","9/19/23","September","> 1",3,"Probezzia",7,2,0.6934552609,21.5285252960172,14.9290691259419
"EAS","REF","25","9/19/23","September","> 1",3,"Rhagovelia",4,2,0.779881618,21.5285252960172,16.7897011410118
"EAS","REF","25","9/19/23","September","> 1",3,"Stenonema",2,2,0.156940284,21.5285252960172,3.37869287405813
"EAS","REF","25","9/19/23","September","> 1",3,"Stylogomphus",3,1,0.233366099,10.7642626480086,2.51201398277718
"EAS","REF","25","9/19/23","September","> 1",3,"Stylogomphus",4,1,0.536704713,10.7642626480086,5.77723049515608
"EAS","REF","25","9/19/23","September","> 1",3,"Tanypodinae",3,1,0.003802506,10.7642626480086,0.0409311733046286
"EAS","REF","25","9/19/23","September","> 1",3,"Tanypodinae",5,1,0.003803671,10.7642626480086,0.0409437136706136
"EAS","REF","25","9/19/23","September","> 1",3,"Tanytarsini",3,4,0.064082104,43.0570505920345,2.75918639397201
"EAS","REF","25","9/19/23","September","> 1",3,"Tanytarsini",4,15,0.526745583,161.463939720129,85.0504170613563
"EAS","REF","25","9/19/23","September","> 1",3,"Tanytarsini",5,2,0.129095218,21.5285252960172,2.77922966630786
"EAS","REF","25","9/19/23","September","> 1",4,"Acroneuria",2,1,0.017851822,10.7642626480086,0.192161700753498
"EAS","REF","25","9/19/23","September","> 1",4,"Acroneuria",3,1,0.0661926085,10.7642626480086,0.712514623250807
"EAS","REF","25","9/19/23","September","> 1",4,"Paracapnia",2,1,0.022424439,10.7642626480086,0.241382551130248
"EAS","REF","25","9/19/23","September","> 1",4,"Dicranota",6,1,0.304332695,10.7642626480086,3.2759170613563
"EAS","REF","25","9/19/23","September","> 1",4,"Ectopria",3,1,0.409573645,10.7642626480086,4.40875828848224
"EAS","REF","25","9/19/23","September","> 1",4,"Ectopria",5,3,5.485904531,32.2927879440258,177.155151700753
"EAS","REF","25","9/19/23","September","> 1",4,"Rhagovelia",4,1,0.389940809,10.7642626480086,4.19742528525296
"EAS","REF","25","9/19/23","September","> 1",4,"Stylogomphus",5,1,1.023976281,10.7642626480086,11.0223496340151
"EAS","REF","25","9/19/23","September","> 1",5,"Acerpenna",4,2,0.633850773,21.5285252960172,13.6458724004306
"EAS","REF","25","9/19/23","September","> 1",5,"Acroneuria",2,1,0.017851822,10.7642626480086,0.192161700753498
"EAS","REF","25","9/19/23","September","> 1",5,"Acroneuria",3,6,0.3971556512,64.5855758880517,25.6505264499462
"EAS","REF","25","9/19/23","September","> 1",5,"Alloperla",4,1,0.2706469304,10.7642626480086,2.91331464370291
"EAS","REF","25","9/19/23","September","> 1",5,"Alloperla",5,1,0.4970338664,10.7642626480086,5.35020308288482
"EAS","REF","25","9/19/23","September","> 1",5,"Paracapnia",2,1,0.022424439,10.7642626480086,0.241382551130248
"EAS","REF","25","9/19/23","September","> 1",5,"Cernotina",2,1,0.0359402,10.7642626480086,0.386869752421959
"EAS","REF","25","9/19/23","September","> 1",5,"Cernotina",3,1,0.0539103,10.7642626480086,0.580304628632939
"EAS","REF","25","9/19/23","September","> 1",5,"Cernotina",4,1,0.0718804,10.7642626480086,0.773739504843918
"EAS","REF","25","9/19/23","September","> 1",5,"Collembola",4,1,0.392088198,10.7642626480086,4.22054034445641
"EAS","REF","25","9/19/23","September","> 1",5,"Cyrnellus",2,1,0.041036023,10.7642626480086,0.441722529601722
"EAS","REF","25","9/19/23","September","> 1",5,"Cyrnellus",3,2,0.229024656,21.5285252960172,4.93056310010764
"EAS","REF","25","9/19/23","September","> 1",5,"Diplectrona",2,1,0.030122754,10.7642626480086,0.324249235737352
"EAS","REF","25","9/19/23","September","> 1",5,"Diplectrona",5,1,0.332274866,10.7642626480086,3.57669392895587
"EAS","REF","25","9/19/23","September","> 1",5,"Diplectrona",6,1,0.535737882,10.7642626480086,5.76682327233585
"EAS","REF","25","9/19/23","September","> 1",5,"Dixa",6,1,0.0043,10.7642626480086,0.046286329386437
"EAS","REF","25","9/19/23","September","> 1",5,"Ectopria",2,1,0.124899502,10.7642626480086,1.34445104413348
"EAS","REF","25","9/19/23","September","> 1",5,"Ectopria",3,3,1.228720935,32.2927879440258,39.6788245963401
"EAS","REF","25","9/19/23","September","> 1",5,"Ephemera",4,1,0.093337785,10.7642626480086,1.00471243272336
"EAS","REF","25","9/19/23","September","> 1",5,"Hexatoma",3,1,0.072753865,10.7642626480086,0.783141711517761
"EAS","REF","25","9/19/23","September","> 1",5,"Hexatoma",5,1,0.274015684,10.7642626480086,2.94957679224973
"EAS","REF","25","9/19/23","September","> 1",5,"Hexatoma",9,1,1.260267814,10.7642626480086,13.5658537567277
"EAS","REF","25","9/19/23","September","> 1",5,"Hexatoma",11,1,2.121801251,10.7642626480086,22.8396259526372
"EAS","REF","25","9/19/23","September","> 1",5,"Hydropsyche",8,1,1.810907633,10.7642626480086,19.4930853928956
"EAS","REF","25","9/19/23","September","> 1",5,"Isoperla",1,1,0.01,10.7642626480086,0.107642626480086
"EAS","REF","25","9/19/23","September","> 1",5,"Isoperla",2,1,0.063115747,10.7642626480086,0.679394477933262
"EAS","REF","25","9/19/23","September","> 1",5,"Isoperla",3,4,0.74173417,43.0570505920345,31.9368856835307
"EAS","REF","25","9/19/23","September","> 1",5,"Leuctra",4,1,0.125623495,10.7642626480086,1.3522442949408
"EAS","REF","25","9/19/23","September","> 1",5,"Leuctra",5,1,0.229164028,10.7642626480086,2.4667817868676
"EAS","REF","25","9/19/23","September","> 1",5,"Orthocladine",4,2,0.091012954,21.5285252960172,1.95937468245425
"EAS","REF","25","9/19/23","September","> 1",5,"Oulimnius",3,2,0.456939249,21.5285252960172,9.83722818083961
"EAS","REF","25","9/19/23","September","> 1",5,"Paraleptophlebia",2,3,0.0861609301,32.2927879440258,2.78237664477933
"EAS","REF","25","9/19/23","September","> 1",5,"Paraleptophlebia",3,4,0.3750450253,43.0570505920345,16.1483326286329
"EAS","REF","25","9/19/23","September","> 1",5,"Probezzia",4,1,0.0909162343,10.7642626480086,0.978646224973089
"EAS","REF","25","9/19/23","September","> 1",5,"Probezzia",5,3,0.465126887,32.2927879440258,15.0202439289559
"EAS","REF","25","9/19/23","September","> 1",5,"Probezzia",7,1,0.3467276304,10.7642626480086,3.73226728094726
"EAS","REF","25","9/19/23","September","> 1",5,"Tanytarsini",4,5,0.175581861,53.8213132400431,9.4500463401507
"EAS","REF","25","9/19/23","September","> 1",5,"Tanytarsini",5,3,0.193642827,32.2927879440258,6.25326674919268
"FRY","MID","402","9/19/23","September","> 1",1,"Acroneuria",7,1,1.023553308,10.7642626480086,11.0177966415501
"FRY","MID","402","9/19/23","September","> 1",1,"Leuctra",4,1,0.125623495,10.7642626480086,1.3522442949408
"FRY","MID","402","9/19/23","September","> 1",1,"Leuctra",5,1,0.229164028,10.7642626480086,2.4667817868676
"FRY","MID","402","9/19/23","September","> 1",1,"Orthocladine",3,1,0.023793663,10.7642626480086,0.256121237890205
"FRY","MID","402","9/19/23","September","> 1",1,"Oulimnius",3,2,0.456939249,21.5285252960172,9.83722818083961
"FRY","MID","402","9/19/23","September","> 1",1,"Polycentropodidae",3,1,0.114512328,10.7642626480086,1.23264077502691
"FRY","MID","402","9/19/23","September","> 1",1,"Polycentropodidae",4,1,0.23717679,10.7642626480086,2.55303326157158
"FRY","MID","402","9/19/23","September","> 1",1,"Psephenus",9,1,4.340821024,10.7642626480086,46.7257376103337
"FRY","MID","402","9/19/23","September","> 1",1,"Stenonema",4,1,0.481059623,10.7642626480086,5.178252131324
"FRY","MID","402","9/19/23","September","> 1",2,"Acroneuria",4,1,0.1677302881,10.7642626480086,1.80549287513455
"FRY","MID","402","9/19/23","September","> 1",2,"Acroneuria",7,1,1.023553308,10.7642626480086,11.0177966415501
"FRY","MID","402","9/19/23","September","> 1",2,"Ectopria",2,7,0.874296511,75.3498385360603,65.8781009364909
"FRY","MID","402","9/19/23","September","> 1",2,"Ectopria",5,1,1.828634844,10.7642626480086,19.6839057481163
"FRY","MID","402","9/19/23","September","> 1",2,"Eurylophella",1,1,0.008,10.7642626480086,0.0861141011840689
"FRY","MID","402","9/19/23","September","> 1",2,"Hydropsyche",5,1,0.48024347,10.7642626480086,5.16946684607105
"FRY","MID","402","9/19/23","September","> 1",2,"Leuctra",5,1,0.229164028,10.7642626480086,2.4667817868676
"FRY","MID","402","9/19/23","September","> 1",2,"Orthocladine",9,1,0.283069196,10.7642626480086,3.04703117330463
"FRY","MID","402","9/19/23","September","> 1",2,"Oulimnius",3,1,0.228469625,10.7642626480086,2.45930705059203
"FRY","MID","402","9/19/23","September","> 1",2,"Oulimnius",5,1,0.842573224,10.7642626480086,9.06967948331539
"FRY","MID","402","9/19/23","September","> 1",2,"Tanypodinae",5,1,0.003803671,10.7642626480086,0.0409437136706136
"FRY","MID","402","9/19/23","September","> 1",3,"Cernotina",9,1,0.1617309,10.7642626480086,1.74091388589882
"FRY","MID","402","9/19/23","September","> 1",3,"Cyrnellus",3,1,0.114512328,10.7642626480086,1.23264077502691
"FRY","MID","402","9/19/23","September","> 1",3,"Ectopria",2,3,0.374698505,32.2927879440258,12.1000593649085
"FRY","MID","402","9/19/23","September","> 1",3,"Ectopria",5,1,1.828634844,10.7642626480086,19.6839057481163
"FRY","MID","402","9/19/23","September","> 1",3,"Ephemerellidae",6,1,1.6756627,10.7642626480086,18.0372734122713
"FRY","MID","402","9/19/23","September","> 1",3,"Ephemerellidae",7,1,2.620187028,10.7642626480086,28.2043813562971
"FRY","MID","402","9/19/23","September","> 1",3,"Ephemerellidae",8,1,3.859303546,10.7642626480086,41.542557007535
"FRY","MID","402","9/19/23","September","> 1",3,"Hydropsyche",6,2,1.607308727,21.5285252960172,34.6029865877287
"FRY","MID","402","9/19/23","September","> 1",3,"Hydropsyche",9,1,2.525521225,10.7642626480086,27.1853737890205
"FRY","MID","402","9/19/23","September","> 1",3,"Leuctra",5,1,0.229164028,10.7642626480086,2.4667817868676
"FRY","MID","402","9/19/23","September","> 1",3,"Leuctra",6,1,0.374507676,10.7642626480086,4.03129898815931
"FRY","MID","402","9/19/23","September","> 1",3,"Microvelia",2,2,0.113780644,21.5285252960172,2.44952947255113
"FRY","MID","402","9/19/23","September","> 1",3,"Rhagovelia",4,1,0.389940809,10.7642626480086,4.19742528525296
"FRY","MID","402","9/19/23","September","> 1",3,"Stenonema",4,1,0.481059623,10.7642626480086,5.178252131324
"FRY","MID","402","9/19/23","September","> 1",4,"Acroneuria",6,1,0.621925612,10.7642626480086,6.6945706350915
"FRY","MID","402","9/19/23","September","> 1",4,"Acroneuria",7,1,1.023553308,10.7642626480086,11.0177966415501
"FRY","MID","402","9/19/23","September","> 1",4,"Acroneuria",12,1,5.843423842,10.7642626480086,62.9001489989236
"FRY","MID","402","9/19/23","September","> 1",4,"Acroneuria",18,1,21.6667782,10.7642626480086,233.226891280947
"FRY","MID","402","9/19/23","September","> 1",4,"Chelifera",5,1,0.286962636,10.7642626480086,3.08894118406889
"FRY","MID","402","9/19/23","September","> 1",4,"Diplectrona",5,1,0.332274866,10.7642626480086,3.57669392895587
"FRY","MID","402","9/19/23","September","> 1",4,"Diplectrona",6,2,1.071475763,21.5285252960172,23.0672930678149
"FRY","MID","402","9/19/23","September","> 1",4,"Diplectrona",7,1,0.80232984,10.7642626480086,8.63648912809473
"FRY","MID","402","9/19/23","September","> 1",4,"Ectopria",2,6,0.74939701,64.5855758880517,48.400237459634
"FRY","MID","402","9/19/23","September","> 1",4,"Ectopria",3,1,0.409573645,10.7642626480086,4.40875828848224
"FRY","MID","402","9/19/23","September","> 1",4,"Orthocladine",5,1,0.075250326,10.7642626480086,0.810014273412271
"FRY","MID","402","9/19/23","September","> 1",4,"Psephenus",8,2,6.182002172,21.5285252960172,133.089390139935
"FRY","MID","402","9/19/23","September","> 1",4,"Psephenus",9,1,4.340821024,10.7642626480086,46.7257376103337
"FRY","MID","402","9/19/23","September","> 1",4,"Rhagovelia",3,1,0.175405746,10.7642626480086,1.88811351991389
"FRY","MID","402","9/19/23","September","> 1",4,"Stenonema",5,1,0.86241341,10.7642626480086,9.28324445640474
"FRY","MID","402","9/19/23","September","> 1",5,"Dixa",5,1,0.0043,10.7642626480086,0.046286329386437
"FRY","MID","402","9/19/23","September","> 1",5,"Ectopria",2,1,0.124899502,10.7642626480086,1.34445104413348
"FRY","MID","402","9/19/23","September","> 1",5,"Hydropsyche",9,1,2.525521225,10.7642626480086,27.1853737890205
"FRY","MID","402","9/19/23","September","> 1",5,"Leuctra",5,2,0.458328055,21.5285252960172,9.86712712594187
"FRY","MID","402","9/19/23","September","> 1",5,"Microvelia",2,1,0.056890322,10.7642626480086,0.612382368137783
"FRY","MID","402","9/19/23","September","> 1",5,"Orthocladine",4,1,0.045506477,10.7642626480086,0.489843670613563
"FRY","MID","402","9/19/23","September","> 1",5,"Stenonema",4,1,0.481059623,10.7642626480086,5.178252131324
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Antocha",2,1,0.022308536,10.7642626480086,0.240134940796555
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Cheumatopsyche",3,1,0.088570079,10.7642626480086,0.953391593110872
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Ectopria",2,1,0.124899502,10.7642626480086,1.34445104413348
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Hetaerina",3,1,0.101680222,10.7642626480086,1.09451261571582
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Hexatoma",5,1,0.274015684,10.7642626480086,2.94957679224973
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Leuctra",3,1,0.057874322,10.7642626480086,0.622974402583423
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Oulimnius",2,1,0.081086867,10.7642626480086,0.872840333692142
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Oulimnius",3,1,0.228469625,10.7642626480086,2.45930705059203
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Tanypodinae",7,1,0.003804439,10.7642626480086,0.0409519806243272
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Tanytarsini",2,2,0.010600584,21.5285252960172,0.228214940796555
"RIC","HIGH","1457","9/19/23","September","> 1",1,"Tanytarsini",3,1,0.016020526,10.7642626480086,0.172449149623251
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Acroneuria",4,2,0.3354605762,21.5285252960172,7.22197150053821
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Acroneuria",5,1,0.3450044168,10.7642626480086,3.71371815715823
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Acroneuria",6,1,0.621925612,10.7642626480086,6.6945706350915
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Acroneuria",7,1,1.023553308,10.7642626480086,11.0177966415501
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Atherix",3,1,0.0651057223,10.7642626480086,0.700815094725511
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Cheumatopsyche",4,2,0.376405981,21.5285252960172,8.10346568353068
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Cheumatopsyche",5,5,1.688498808,53.8213132400431,90.8772232508073
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Cheumatopsyche",6,1,0.544484622,10.7642626480086,5.86097547900969
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Cheumatopsyche",7,4,3.261716412,43.0570505920345,140.439888568353
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Cheumatopsyche",8,6,6.941868124,64.5855758880517,448.344550527449
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Cheumatopsyche",9,1,1.575232696,10.7642626480086,16.9562184714747
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Cheumatopsyche",10,2,4.152019059,21.5285252960172,89.3868473412271
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Ectopria",2,1,0.124899502,10.7642626480086,1.34445104413348
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Ectopria",3,1,0.409573645,10.7642626480086,4.40875828848224
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Hydropsyche",3,1,0.113490785,10.7642626480086,1.22164461786868
"RIC","HIGH","1457","9/19/23","September","> 1",2,"Hydropsyche",4,1,0.255733482,10.7642626480086,2.75278236813778
