Site,SC Category,SC Level,Sample Date,Fraction,Replicate,Order,Family,Genus,Abundance (# individuals),Density (# individuals/m2),Biomass (g)
CRO,REF,72,10/21/23,> 1,3,Diptera,Empididae,Chelifera,0,0,0
CRO,REF,72,10/21/23,> 1,4,Diptera,Empididae,Chelifera,0,0,0
CRO,REF,72,10/21/23,> 1,5,Diptera,Empididae,Chelifera,0,0,0
CRO,REF,72,10/21/23,> 1,1,Trichoptera,Hydropsychidae,Cheumatopsyche,1,10.76426265,0.337699762
CRO,REF,72,10/21/23,> 1,2,Trichoptera,Hydropsychidae,Cheumatopsyche,0,0,0
CRO,REF,72,10/21/23,> 1,3,Trichoptera,Hydropsychidae,Cheumatopsyche,2,21.5285253,4.504197632
CRO,REF,72,10/21/23,> 1,4,Trichoptera,Hydropsychidae,Cheumatopsyche,1,10.76426265,0.188202991
CRO,REF,72,10/21/23,> 1,5,Trichoptera,Hydropsychidae,Cheumatopsyche,0,0,0
CRO,REF,72,10/21/23,> 1,1,Diptera,Chironomidae,Chironomidae,0,0,0
CRO,REF,72,10/21/23,> 1,2,Diptera,Chironomidae,Chironomidae,0,0,0
CRO,REF,72,10/21/23,> 1,3,Diptera,Chironomidae,Chironomidae,0,0,0
CRO,REF,72,10/21/23,> 1,4,Diptera,Chironomidae,Chironomidae,0,0,0
CRO,REF,72,10/21/23,> 1,5,Diptera,Chironomidae,Chironomidae,0,0,0
CRO,REF,72,10/21/23,> 1,1,Diptera,Chironomidae,Chironomini,0,0,0
CRO,REF,72,10/21/23,> 1,2,Diptera,Chironomidae,Chironomini,0,0,0
CRO,REF,72,10/21/23,> 1,3,Diptera,Chironomidae,Chironomini,0,0,0
CRO,REF,72,10/21/23,> 1,4,Diptera,Chironomidae,Chironomini,0,0,0
CRO,REF,72,10/21/23,> 1,5,Diptera,Chironomidae,Chironomini,0,0,0
CRO,REF,72,10/21/23,> 1,1,Hexapoda,Collembola,Collembola,0,0,0
CRO,REF,72,10/21/23,> 1,2,Hexapoda,Collembola,Collembola,0,0,0
CRO,REF,72,10/21/23,> 1,3,Hexapoda,Collembola,Collembola,0,0,0
CRO,REF,72,10/21/23,> 1,4,Hexapoda,Collembola,Collembola,0,0,0
CRO,REF,72,10/21/23,> 1,5,Hexapoda,Collembola,Collembola,0,0,0
CRO,REF,72,10/21/23,> 1,1,Trichoptera,Polycentropodidae,Cyrnellus,0,0,0
CRO,REF,72,10/21/23,> 1,2,Trichoptera,Polycentropodidae,Cyrnellus,0,0,0
CRO,REF,72,10/21/23,> 1,3,Trichoptera,Polycentropodidae,Cyrnellus,0,0,0
CRO,REF,72,10/21/23,> 1,4,Trichoptera,Polycentropodidae,Cyrnellus,0,0,0
CRO,REF,72,10/21/23,> 1,5,Trichoptera,Polycentropodidae,Cyrnellus,0,0,0
CRO,REF,72,10/21/23,> 1,1,Diptera,Pediciidae,Dicranota,0,0,0
CRO,REF,72,10/21/23,> 1,2,Diptera,Pediciidae,Dicranota,0,0,0
CRO,REF,72,10/21/23,> 1,3,Diptera,Pediciidae,Dicranota,0,0,0
CRO,REF,72,10/21/23,> 1,4,Diptera,Pediciidae,Dicranota,0,0,0
CRO,REF,72,10/21/23,> 1,5,Diptera,Pediciidae,Dicranota,0,0,0
CRO,REF,72,10/21/23,> 1,1,Trichoptera,Hydropsychidae,Diplectrona,4,43.05705059,6.960192411
CRO,REF,72,10/21/23,> 1,2,Trichoptera,Hydropsychidae,Diplectrona,1,10.76426265,3.293449015
CRO,REF,72,10/21/23,> 1,3,Trichoptera,Hydropsychidae,Diplectrona,5,53.82131324,4.066623387
CRO,REF,72,10/21/23,> 1,4,Trichoptera,Hydropsychidae,Diplectrona,5,53.82131324,2.741818351
CRO,REF,72,10/21/23,> 1,5,Trichoptera,Hydropsychidae,Diplectrona,2,21.5285253,0.517454515
CRO,REF,72,10/21/23,> 1,1,Diptera,Dixidae,Dixa,0,0,0
CRO,REF,72,10/21/23,> 1,2,Diptera,Dixidae,Dixa,0,0,0
CRO,REF,72,10/21/23,> 1,3,Diptera,Dixidae,Dixa,0,0,0
CRO,REF,72,10/21/23,> 1,4,Diptera,Dixidae,Dixa,0,0,0
CRO,REF,72,10/21/23,> 1,5,Diptera,Dixidae,Dixa,0,0,0
CRO,REF,72,10/21/23,> 1,1,Diptera,Dixidae,Dixella,0,0,0
CRO,REF,72,10/21/23,> 1,2,Diptera,Dixidae,Dixella,0,0,0
CRO,REF,72,10/21/23,> 1,3,Diptera,Dixidae,Dixella,0,0,0
CRO,REF,72,10/21/23,> 1,4,Diptera,Dixidae,Dixella,0,0,0
CRO,REF,72,10/21/23,> 1,5,Diptera,Dixidae,Dixella,0,0,0
CRO,REF,72,10/21/23,> 1,1,Trichoptera,Philopotamidae,Dolophilodes,0,0,0
CRO,REF,72,10/21/23,> 1,2,Trichoptera,Philopotamidae,Dolophilodes,0,0,0
CRO,REF,72,10/21/23,> 1,3,Trichoptera,Philopotamidae,Dolophilodes,2,21.5285253,7.203290575
CRO,REF,72,10/21/23,> 1,4,Trichoptera,Philopotamidae,Dolophilodes,0,0,0
CRO,REF,72,10/21/23,> 1,5,Trichoptera,Philopotamidae,Dolophilodes,0,0,0
CRO,REF,72,10/21/23,> 1,1,Coleoptera,Psephenidae,Ectopria,1,10.76426265,0.124899502
CRO,REF,72,10/21/23,> 1,2,Coleoptera,Psephenidae,Ectopria,0,0,0
CRO,REF,72,10/21/23,> 1,3,Coleoptera,Psephenidae,Ectopria,0,0,0
CRO,REF,72,10/21/23,> 1,4,Coleoptera,Psephenidae,Ectopria,1,10.76426265,0.124899502
CRO,REF,72,10/21/23,> 1,5,Coleoptera,Psephenidae,Ectopria,0,0,0
CRO,REF,72,10/21/23,> 1,1,Ephemeroptera,Ephemeridae,Ephemera,0,0,0
CRO,REF,72,10/21/23,> 1,2,Ephemeroptera,Ephemeridae,Ephemera,0,0,0
CRO,REF,72,10/21/23,> 1,3,Ephemeroptera,Ephemeridae,Ephemera,0,0,0
CRO,REF,72,10/21/23,> 1,4,Ephemeroptera,Ephemeridae,Ephemera,2,21.5285253,1.318001135
CRO,REF,72,10/21/23,> 1,5,Ephemeroptera,Ephemeridae,Ephemera,0,0,0
CRO,REF,72,10/21/23,> 1,1,Ephemeroptera,Ephemerellidae,Eurylophella,0,0,0
CRO,REF,72,10/21/23,> 1,2,Ephemeroptera,Ephemerellidae,Eurylophella,0,0,0
CRO,REF,72,10/21/23,> 1,3,Ephemeroptera,Ephemerellidae,Eurylophella,0,0,0
CRO,REF,72,10/21/23,> 1,4,Ephemeroptera,Ephemerellidae,Eurylophella,0,0,0
CRO,REF,72,10/21/23,> 1,5,Ephemeroptera,Ephemerellidae,Eurylophella,0,0,0
CRO,REF,72,10/21/23,> 1,1,Trichoptera,Glossosomatidae,Glossosoma,0,0,0
CRO,REF,72,10/21/23,> 1,2,Trichoptera,Glossosomatidae,Glossosoma,0,0,0
CRO,REF,72,10/21/23,> 1,3,Trichoptera,Glossosomatidae,Glossosoma,0,0,0
CRO,REF,72,10/21/23,> 1,4,Trichoptera,Glossosomatidae,Glossosoma,0,0,0
CRO,REF,72,10/21/23,> 1,5,Trichoptera,Glossosomatidae,Glossosoma,0,0,0
CRO,REF,72,10/21/23,> 1,1,Trichoptera,Goeridae,Goera,0,0,0
CRO,REF,72,10/21/23,> 1,2,Trichoptera,Goeridae,Goera,0,0,0
CRO,REF,72,10/21/23,> 1,3,Trichoptera,Goeridae,Goera,0,0,0
CRO,REF,72,10/21/23,> 1,4,Trichoptera,Goeridae,Goera,0,0,0
CRO,REF,72,10/21/23,> 1,5,Trichoptera,Goeridae,Goera,0,0,0
CRO,REF,72,10/21/23,> 1,1,Odonata,Gomphidae,Gomphurus,0,0,0
CRO,REF,72,10/21/23,> 1,2,Odonata,Gomphidae,Gomphurus,0,0,0
CRO,REF,72,10/21/23,> 1,3,Odonata,Gomphidae,Gomphurus,0,0,0
CRO,REF,72,10/21/23,> 1,4,Odonata,Gomphidae,Gomphurus,0,0,0
CRO,REF,72,10/21/23,> 1,5,Odonata,Gomphidae,Gomphurus,0,0,0
CRO,REF,72,10/21/23,> 1,1,Coleoptera,Gyrinidae,Gyrinus,0,0,0
CRO,REF,72,10/21/23,> 1,2,Coleoptera,Gyrinidae,Gyrinus,0,0,0
CRO,REF,72,10/21/23,> 1,3,Coleoptera,Gyrinidae,Gyrinus,0,0,0
CRO,REF,72,10/21/23,> 1,4,Coleoptera,Gyrinidae,Gyrinus,0,0,0
CRO,REF,72,10/21/23,> 1,5,Coleoptera,Gyrinidae,Gyrinus,0,0,0
CRO,REF,72,10/21/23,> 1,1,Ephemeroptera,Heptageniidae,Heptageniidae,0,0,0
CRO,REF,72,10/21/23,> 1,2,Ephemeroptera,Heptageniidae,Heptageniidae,0,0,0
CRO,REF,72,10/21/23,> 1,3,Ephemeroptera,Heptageniidae,Heptageniidae,0,0,0
CRO,REF,72,10/21/23,> 1,4,Ephemeroptera,Heptageniidae,Heptageniidae,0,0,0
CRO,REF,72,10/21/23,> 1,5,Ephemeroptera,Heptageniidae,Heptageniidae,0,0,0
CRO,REF,72,10/21/23,> 1,1,Odonata,Calopterygidae,Hetaerina,0,0,0
CRO,REF,72,10/21/23,> 1,2,Odonata,Calopterygidae,Hetaerina,0,0,0
CRO,REF,72,10/21/23,> 1,3,Odonata,Calopterygidae,Hetaerina,0,0,0
CRO,REF,72,10/21/23,> 1,4,Odonata,Calopterygidae,Hetaerina,0,0,0
CRO,REF,72,10/21/23,> 1,5,Odonata,Calopterygidae,Hetaerina,0,0,0
CRO,REF,72,10/21/23,> 1,1,Diptera,Limoniidae,Hexatoma,0,0,0
CRO,REF,72,10/21/23,> 1,2,Diptera,Limoniidae,Hexatoma,2,21.5285253,7.225263189
CRO,REF,72,10/21/23,> 1,3,Diptera,Limoniidae,Hexatoma,3,32.29278794,8.666386383
CRO,REF,72,10/21/23,> 1,4,Diptera,Limoniidae,Hexatoma,2,21.5285253,1.856525387
CRO,REF,72,10/21/23,> 1,5,Diptera,Limoniidae,Hexatoma,1,10.76426265,3.273755439
CRO,REF,72,10/21/23,> 1,1,Trombidiformes,Hydrachnidia,Hydrachnia,0,0,0
CRO,REF,72,10/21/23,> 1,2,Trombidiformes,Hydrachnidia,Hydrachnia,0,0,0
CRO,REF,72,10/21/23,> 1,3,Trombidiformes,Hydrachnidia,Hydrachnia,0,0,0
CRO,REF,72,10/21/23,> 1,4,Trombidiformes,Hydrachnidia,Hydrachnia,0,0,0
CRO,REF,72,10/21/23,> 1,5,Trombidiformes,Hydrachnidia,Hydrachnia,0,0,0
CRO,REF,72,10/21/23,> 1,1,Trichoptera,Hydropsychidae,Hydropsyche,1,10.76426265,1.242015573
CRO,REF,72,10/21/23,> 1,2,Trichoptera,Hydropsychidae,Hydropsyche,0,0,0
CRO,REF,72,10/21/23,> 1,3,Trichoptera,Hydropsychidae,Hydropsyche,1,10.76426265,0.803654364
CRO,REF,72,10/21/23,> 1,4,Trichoptera,Hydropsychidae,Hydropsyche,0,0,0
CRO,REF,72,10/21/23,> 1,5,Trichoptera,Hydropsychidae,Hydropsyche,0,0,0
CRO,REF,72,10/21/23,> 1,1,Plecoptera,Perlodidae,Isoperla,0,0,0
CRO,REF,72,10/21/23,> 1,2,Plecoptera,Perlodidae,Isoperla,0,0,0
CRO,REF,72,10/21/23,> 1,3,Plecoptera,Perlodidae,Isoperla,0,0,0
CRO,REF,72,10/21/23,> 1,4,Plecoptera,Perlodidae,Isoperla,0,0,0
CRO,REF,72,10/21/23,> 1,5,Plecoptera,Perlodidae,Isoperla,0,0,0
CRO,REF,72,10/21/23,> 1,1,Lepidoptera,Crambidae,Langessa,0,0,0
CRO,REF,72,10/21/23,> 1,2,Lepidoptera,Crambidae,Langessa,0,0,0
CRO,REF,72,10/21/23,> 1,3,Lepidoptera,Crambidae,Langessa,0,0,0
CRO,REF,72,10/21/23,> 1,4,Lepidoptera,Crambidae,Langessa,0,0,0
CRO,REF,72,10/21/23,> 1,5,Lepidoptera,Crambidae,Langessa,0,0,0
CRO,REF,72,10/21/23,> 1,1,Ephemeroptera,Leptophlebiidae,Leptophlebiidae,0,0,0
CRO,REF,72,10/21/23,> 1,2,Ephemeroptera,Leptophlebiidae,Leptophlebiidae,0,0,0
CRO,REF,72,10/21/23,> 1,3,Ephemeroptera,Leptophlebiidae,Leptophlebiidae,3,32.29278794,0.825956452
CRO,REF,72,10/21/23,> 1,4,Ephemeroptera,Leptophlebiidae,Leptophlebiidae,0,0,0
CRO,REF,72,10/21/23,> 1,5,Ephemeroptera,Leptophlebiidae,Leptophlebiidae,0,0,0
CRO,REF,72,10/21/23,> 1,1,Plecoptera,Leuctridae,Leuctra,0,0,0
CRO,REF,72,10/21/23,> 1,2,Plecoptera,Leuctridae,Leuctra,0,0,0
CRO,REF,72,10/21/23,> 1,3,Plecoptera,Leuctridae,Leuctra,0,0,0
CRO,REF,72,10/21/23,> 1,4,Plecoptera,Leuctridae,Leuctra,0,0,0
CRO,REF,72,10/21/23,> 1,5,Plecoptera,Leuctridae,Leuctra,0,0,0
CRO,REF,72,10/21/23,> 1,1,Plecoptera,Leuctridae,Leuctridae,0,0,0
CRO,REF,72,10/21/23,> 1,2,Plecoptera,Leuctridae,Leuctridae,0,0,0
CRO,REF,72,10/21/23,> 1,3,Plecoptera,Leuctridae,Leuctridae,0,0,0
CRO,REF,72,10/21/23,> 1,4,Plecoptera,Leuctridae,Leuctridae,0,0,0
CRO,REF,72,10/21/23,> 1,5,Plecoptera,Leuctridae,Leuctridae,0,0,0
CRO,REF,72,10/21/23,> 1,1,Hemiptera,Veliidae,Microvelia,0,0,0
CRO,REF,72,10/21/23,> 1,2,Hemiptera,Veliidae,Microvelia,0,0,0
CRO,REF,72,10/21/23,> 1,3,Hemiptera,Veliidae,Microvelia,0,0,0
CRO,REF,72,10/21/23,> 1,4,Hemiptera,Veliidae,Microvelia,0,0,0
CRO,REF,72,10/21/23,> 1,5,Hemiptera,Veliidae,Microvelia,0,0,0
CRO,REF,72,10/21/23,> 1,1,Diptera,Chironominae,Orthocladine,3,32.29278794,0.064586619
CRO,REF,72,10/21/23,> 1,2,Diptera,Chironominae,Orthocladine,0,0,0
CRO,REF,72,10/21/23,> 1,3,Diptera,Chironominae,Orthocladine,0,0,0
CRO,REF,72,10/21/23,> 1,4,Diptera,Chironominae,Orthocladine,1,10.76426265,0.075250326
CRO,REF,72,10/21/23,> 1,5,Diptera,Chironominae,Orthocladine,0,0,0
CRO,REF,72,10/21/23,> 1,1,Coleoptera,Elmidae,Oulimnius(A),0,0,0
CRO,REF,72,10/21/23,> 1,2,Coleoptera,Elmidae,Oulimnius(A),0,0,0
CRO,REF,72,10/21/23,> 1,3,Coleoptera,Elmidae,Oulimnius(A),0,0,0
CRO,REF,72,10/21/23,> 1,4,Coleoptera,Elmidae,Oulimnius(A),0,0,0
CRO,REF,72,10/21/23,> 1,5,Coleoptera,Elmidae,Oulimnius(A),0,0,0
CRO,REF,72,10/21/23,> 1,1,Coleoptera,Elmidae,Oulimnius(L),0,0,0
CRO,REF,72,10/21/23,> 1,2,Coleoptera,Elmidae,Oulimnius(L),0,0,0
CRO,REF,72,10/21/23,> 1,3,Coleoptera,Elmidae,Oulimnius(L),0,0,0
CRO,REF,72,10/21/23,> 1,4,Coleoptera,Elmidae,Oulimnius(L),1,10.76426265,0.081086867
CRO,REF,72,10/21/23,> 1,5,Coleoptera,Elmidae,Oulimnius(L),0,0,0
CRO,REF,72,10/21/23,> 1,1,Plecoptera,Capniidae,Paracapnia,3,32.29278794,0.067273318
CRO,REF,72,10/21/23,> 1,2,Plecoptera,Capniidae,Paracapnia,0,0,0
CRO,REF,72,10/21/23,> 1,3,Plecoptera,Capniidae,Paracapnia,3,32.29278794,0.145363686
CRO,REF,72,10/21/23,> 1,4,Plecoptera,Capniidae,Paracapnia,12,129.1711518,0.308138454
CRO,REF,72,10/21/23,> 1,5,Plecoptera,Capniidae,Paracapnia,0,0,0
CRO,REF,72,10/21/23,> 1,1,Ephemeroptera,Leptophlebiidae,Paraleptophlebiidae,14,150.6996771,24.22413093
CRO,REF,72,10/21/23,> 1,2,Ephemeroptera,Leptophlebiidae,Paraleptophlebiidae,0,0,0
CRO,REF,72,10/21/23,> 1,3,Ephemeroptera,Leptophlebiidae,Paraleptophlebiidae,0,0,0
CRO,REF,72,10/21/23,> 1,4,Ephemeroptera,Leptophlebiidae,Paraleptophlebiidae,10,107.6426265,19.99961143
CRO,REF,72,10/21/23,> 1,5,Ephemeroptera,Leptophlebiidae,Paraleptophlebiidae,2,21.5285253,3.108286798
CRO,REF,72,10/21/23,> 1,1,Trichoptera,Polycentropodidae,Polycentropodidae,0,0,0
CRO,REF,72,10/21/23,> 1,2,Trichoptera,Polycentropodidae,Polycentropodidae,0,0,0
CRO,REF,72,10/21/23,> 1,3,Trichoptera,Polycentropodidae,Polycentropodidae,0,0,0
CRO,REF,72,10/21/23,> 1,4,Trichoptera,Polycentropodidae,Polycentropodidae,0,0,0
CRO,REF,72,10/21/23,> 1,5,Trichoptera,Polycentropodidae,Polycentropodidae,0,0,0
CRO,REF,72,10/21/23,> 1,1,Trichoptera,Polycentropodidae,Polycentropus,1,10.76426265,0.114512328
CRO,REF,72,10/21/23,> 1,2,Trichoptera,Polycentropodidae,Polycentropus,1,10.76426265,0.23717679
CRO,REF,72,10/21/23,> 1,3,Trichoptera,Polycentropodidae,Polycentropus,0,0,0
CRO,REF,72,10/21/23,> 1,4,Trichoptera,Polycentropodidae,Polycentropus,0,0,0
CRO,REF,72,10/21/23,> 1,5,Trichoptera,Polycentropodidae,Polycentropus,0,0,0
CRO,REF,72,10/21/23,> 1,1,Diptera,Ceratopogonidae,Probezzia,0,0,0
CRO,REF,72,10/21/23,> 1,2,Diptera,Ceratopogonidae,Probezzia,0,0,0
CRO,REF,72,10/21/23,> 1,3,Diptera,Ceratopogonidae,Probezzia,0,0,0
CRO,REF,72,10/21/23,> 1,4,Diptera,Ceratopogonidae,Probezzia,0,0,0
CRO,REF,72,10/21/23,> 1,5,Diptera,Ceratopogonidae,Probezzia,0,0,0
CRO,REF,72,10/21/23,> 1,1,Coleoptera,Psephenidae,Psephenus,0,0,0
CRO,REF,72,10/21/23,> 1,2,Coleoptera,Psephenidae,Psephenus,0,0,0
CRO,REF,72,10/21/23,> 1,3,Coleoptera,Psephenidae,Psephenus,3,32.29278794,4.454424128
CRO,REF,72,10/21/23,> 1,4,Coleoptera,Psephenidae,Psephenus,0,0,0
CRO,REF,72,10/21/23,> 1,5,Coleoptera,Psephenidae,Psephenus,0,0,0
CRO,REF,72,10/21/23,> 1,1,Trichoptera,Pupa,Pupa,0,0,0
CRO,REF,72,10/21/23,> 1,1,Diptera,Pupa,Pupa,0,0,0
CRO,REF,72,10/21/23,> 1,1,Diptera,Chironomidae,Pupa,0,0,0
CRO,REF,72,10/21/23,> 1,2,Trichoptera,Pupa,Pupa,0,0,0
CRO,REF,72,10/21/23,> 1,2,Diptera,Pupa,Pupa,0,0,0
CRO,REF,72,10/21/23,> 1,2,Diptera,Chironomidae,Pupa,0,0,0
CRO,REF,72,10/21/23,> 1,3,Trichoptera,Pupa,Pupa,0,0,0
CRO,REF,72,10/21/23,> 1,3,Diptera,Pupa,Pupa,0,0,0
CRO,REF,72,10/21/23,> 1,3,Diptera,Chironomidae,Pupa,0,0,0
CRO,REF,72,10/21/23,> 1,4,Trichoptera,Pupa,Pupa,0,0,0
CRO,REF,72,10/21/23,> 1,4,Diptera,Pupa,Pupa,0,0,0
CRO,REF,72,10/21/23,> 1,4,Diptera,Chironomidae,Pupa,0,0,0
CRO,REF,72,10/21/23,> 1,5,Trichoptera,Pupa,Pupa,0,0,0
CRO,REF,72,10/21/23,> 1,5,Diptera,Pupa,Pupa,0,0,0
CRO,REF,72,10/21/23,> 1,5,Diptera,Chironomidae,Pupa,0,0,0
CRO,REF,72,10/21/23,> 1,1,Hemiptera,Veliidae,Rhagovelia,0,0,0
CRO,REF,72,10/21/23,> 1,2,Hemiptera,Veliidae,Rhagovelia,0,0,0
CRO,REF,72,10/21/23,> 1,3,Hemiptera,Veliidae,Rhagovelia,0,0,0
CRO,REF,72,10/21/23,> 1,4,Hemiptera,Veliidae,Rhagovelia,1,10.76426265,0.389940809
CRO,REF,72,10/21/23,> 1,5,Hemiptera,Veliidae,Rhagovelia,0,0,0
CRO,REF,72,10/21/23,> 1,1,Megaloptera,Sialidae,Sialis,0,0,0
CRO,REF,72,10/21/23,> 1,2,Megaloptera,Sialidae,Sialis,0,0,0
CRO,REF,72,10/21/23,> 1,3,Megaloptera,Sialidae,Sialis,0,0,0
CRO,REF,72,10/21/23,> 1,4,Megaloptera,Sialidae,Sialis,0,0,0
CRO,REF,72,10/21/23,> 1,5,Megaloptera,Sialidae,Sialis,0,0,0
CRO,REF,72,10/21/23,> 1,1,Gastropoda,Lymnaidae,Stagnicola,0,0,0
