"Site","SC.Category","SC.Level","Sample.Date","Fraction","Replicate","Order","Family","Genus","Abundance","Density","Biomass","Biomass.Area.Corrected"
"CRO","REF","72","10/21/23","> 1",1,"Odonata","Aeshnidae","Triacanthagyna",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Baetidae","Acerpenna",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Plecoptera","Perlidae","Acroneuria",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Plecoptera","Adult","Adult",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Adult","Adult",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Adult","Adult",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Stratiomyidae","Allognasta",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Plecoptera","Chloroperlidae","Alloperla",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Limoniidae","Antocha",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Athericidae","Atherix",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Baetidae","Baetis",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Baetiscidae","Baetisca",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Odonata","Aeshnidae","Boyeria",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Plecoptera","Capniidae","Capniidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Polycentropodidae","Cernotina",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Empididae","Chelifera",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Hydropsychidae","Cheumatopsyche",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Chironomidae","Chironomidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Chironomidae","Chironomini",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Hexapoda","Collembola","Collembola",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Polycentropodidae","Cyrnellus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Pediciidae","Dicranota",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Hydropsychidae","Diplectrona",1,10.76426265,3.293449015,35.4515502218438
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Dixidae","Dixa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Dixidae","Dixella",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Philopotamidae","Dolophilodes",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Coleoptera","Psephenidae","Ectopria",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Ephemeridae","Ephemera",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Ephemerellidae","Eurylophella",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Glossosomatidae","Glossosoma",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Goeridae","Goera",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Odonata","Gomphidae","Gomphurus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Coleoptera","Gyrinidae","Gyrinus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Heptageniidae","Heptageniidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Odonata","Calopterygidae","Hetaerina",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Limoniidae","Hexatoma",2,21.5285253,7.225263189,155.549261363545
"CRO","REF","72","10/21/23","> 1",2,"Trombidiformes","Hydrachnidia","Hydrachnia",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Hydropsychidae","Hydropsyche",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Plecoptera","Perlodidae","Isoperla",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Lepidoptera","Crambidae","Langessa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Leptophlebiidae","Leptophlebiidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Plecoptera","Leuctridae","Leuctra",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Plecoptera","Leuctridae","Leuctridae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Hemiptera","Veliidae","Microvelia",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Chironominae","Orthocladine",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Coleoptera","Elmidae","Oulimnius(A)",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Coleoptera","Elmidae","Oulimnius(L)",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Plecoptera","Capniidae","Paracapnia",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Leptophlebiidae","Paraleptophlebiidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Polycentropodidae","Polycentropodidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Polycentropodidae","Polycentropus",1,10.76426265,0.23717679,2.55303326204389
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Ceratopogonidae","Probezzia",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Coleoptera","Psephenidae","Psephenus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Trichoptera","Pupa","Pupa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Pupa","Pupa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Chironomidae","Pupa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Hemiptera","Veliidae","Rhagovelia",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Megaloptera","Sialidae","Sialis",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Gastropoda","Lymnaidae","Stagnicola",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Coleoptera","Elmidae","Stenelmis (A)",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Coleoptera","Elmidae","Stenelmis (L)",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Ephemeroptera","Heptageniidae","Stenonema",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Odonata","Gomphidae","Stylogomphurus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Tanypodinae","Tanypodinae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Chironominae","Tanytarsini",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Diptera","Tipulidae","Tipula",0,0,0,0
"CRO","REF","72","10/21/23","> 1",2,"Odonata","Aeshnidae","Triacanthagyna",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Ephemeroptera","Baetidae","Acerpenna",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Plecoptera","Perlidae","Acroneuria",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Plecoptera","Adult","Adult",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Adult","Adult",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Adult","Adult",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Stratiomyidae","Allognasta",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Plecoptera","Chloroperlidae","Alloperla",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Limoniidae","Antocha",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Athericidae","Atherix",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Ephemeroptera","Baetidae","Baetis",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Ephemeroptera","Baetiscidae","Baetisca",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Odonata","Aeshnidae","Boyeria",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Plecoptera","Capniidae","Capniidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Polycentropodidae","Cernotina",1,10.76426265,0.661849376,7.12432051800261
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Empididae","Chelifera",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Hydropsychidae","Cheumatopsyche",2,21.5285253,4.504197632,96.9687326767121
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Chironomidae","Chironomidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Chironomidae","Chironomini",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Hexapoda","Collembola","Collembola",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Polycentropodidae","Cyrnellus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Pediciidae","Dicranota",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Hydropsychidae","Diplectrona",5,53.82131324,4.066623387,218.871011140837
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Dixidae","Dixa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Dixidae","Dixella",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Philopotamidae","Dolophilodes",2,21.5285253,7.203290575,155.076223387139
"CRO","REF","72","10/21/23","> 1",3,"Coleoptera","Psephenidae","Ectopria",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Ephemeroptera","Ephemeridae","Ephemera",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Ephemeroptera","Ephemerellidae","Eurylophella",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Glossosomatidae","Glossosoma",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Goeridae","Goera",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Odonata","Gomphidae","Gomphurus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Coleoptera","Gyrinidae","Gyrinus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Ephemeroptera","Heptageniidae","Heptageniidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Odonata","Calopterygidae","Hetaerina",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Limoniidae","Hexatoma",3,32.29278794,8.666386383,279.861777672323
"CRO","REF","72","10/21/23","> 1",3,"Trombidiformes","Hydrachnidia","Hydrachnia",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Hydropsychidae","Hydropsyche",1,10.76426265,0.803654364,8.6507466539147
"CRO","REF","72","10/21/23","> 1",3,"Plecoptera","Perlodidae","Isoperla",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Lepidoptera","Crambidae","Langessa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Ephemeroptera","Leptophlebiidae","Leptophlebiidae",3,32.29278794,0.825956452,26.6724365521108
"CRO","REF","72","10/21/23","> 1",3,"Plecoptera","Leuctridae","Leuctra",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Plecoptera","Leuctridae","Leuctridae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Hemiptera","Veliidae","Microvelia",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Chironominae","Orthocladine",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Coleoptera","Elmidae","Oulimnius(A)",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Coleoptera","Elmidae","Oulimnius(L)",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Plecoptera","Capniidae","Paracapnia",3,32.29278794,0.145363686,4.69419868617475
"CRO","REF","72","10/21/23","> 1",3,"Ephemeroptera","Leptophlebiidae","Paraleptophlebiidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Polycentropodidae","Polycentropodidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Polycentropodidae","Polycentropus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Ceratopogonidae","Probezzia",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Coleoptera","Psephenidae","Psephenus",3,32.29278794,4.454424128,143.845773760323
"CRO","REF","72","10/21/23","> 1",3,"Trichoptera","Pupa","Pupa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Pupa","Pupa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Chironomidae","Pupa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Hemiptera","Veliidae","Rhagovelia",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Megaloptera","Sialidae","Sialis",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Gastropoda","Lymnaidae","Stagnicola",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Coleoptera","Elmidae","Stenelmis (A)",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Coleoptera","Elmidae","Stenelmis (L)",2,21.5285253,0.734573525,15.8142847176727
"CRO","REF","72","10/21/23","> 1",3,"Ephemeroptera","Heptageniidae","Stenonema",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Odonata","Gomphidae","Stylogomphurus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Tanypodinae","Tanypodinae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Chironominae","Tanytarsini",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Diptera","Tipulidae","Tipula",0,0,0,0
"CRO","REF","72","10/21/23","> 1",3,"Odonata","Aeshnidae","Triacanthagyna",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Ephemeroptera","Baetidae","Acerpenna",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Plecoptera","Perlidae","Acroneuria",7,75.34983854,7.473642994,563.137792903502
"CRO","REF","72","10/21/23","> 1",4,"Plecoptera","Adult","Adult",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Diptera","Adult","Adult",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Diptera","Adult","Adult",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Diptera","Stratiomyidae","Allognasta",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Plecoptera","Chloroperlidae","Alloperla",2,21.5285253,3.116104626,67.085137278288
"CRO","REF","72","10/21/23","> 1",4,"Diptera","Limoniidae","Antocha",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Diptera","Athericidae","Atherix",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Ephemeroptera","Baetidae","Baetis",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Ephemeroptera","Baetiscidae","Baetisca",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Odonata","Aeshnidae","Boyeria",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Plecoptera","Capniidae","Capniidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Trichoptera","Polycentropodidae","Cernotina",1,10.76426265,0.977690709,10.5241195821407
"CRO","REF","72","10/21/23","> 1",4,"Diptera","Empididae","Chelifera",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Trichoptera","Hydropsychidae","Cheumatopsyche",1,10.76426265,0.188202991,2.02586642663959
"CRO","REF","72","10/21/23","> 1",4,"Diptera","Chironomidae","Chironomidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Diptera","Chironomidae","Chironomini",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Hexapoda","Collembola","Collembola",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Trichoptera","Polycentropodidae","Cyrnellus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Diptera","Pediciidae","Dicranota",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Trichoptera","Hydropsychidae","Diplectrona",5,53.82131324,2.741818351,147.568264316351
"CRO","REF","72","10/21/23","> 1",4,"Diptera","Dixidae","Dixa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Diptera","Dixidae","Dixella",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Trichoptera","Philopotamidae","Dolophilodes",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Coleoptera","Psephenidae","Ectopria",1,10.76426265,0.124899502,1.3444510443822
"CRO","REF","72","10/21/23","> 1",4,"Ephemeroptera","Ephemeridae","Ephemera",2,21.5285253,1.318001135,28.3746207802762
"CRO","REF","72","10/21/23","> 1",4,"Ephemeroptera","Ephemerellidae","Eurylophella",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Trichoptera","Glossosomatidae","Glossosoma",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Trichoptera","Goeridae","Goera",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Odonata","Gomphidae","Gomphurus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Coleoptera","Gyrinidae","Gyrinus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Ephemeroptera","Heptageniidae","Heptageniidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Odonata","Calopterygidae","Hetaerina",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Diptera","Limoniidae","Hexatoma",2,21.5285253,1.856525387,39.9682537641218
"CRO","REF","72","10/21/23","> 1",4,"Trombidiformes","Hydrachnidia","Hydrachnia",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Trichoptera","Hydropsychidae","Hydropsyche",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Plecoptera","Perlodidae","Isoperla",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Lepidoptera","Crambidae","Langessa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Ephemeroptera","Leptophlebiidae","Leptophlebiidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Plecoptera","Leuctridae","Leuctra",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Plecoptera","Leuctridae","Leuctridae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Hemiptera","Veliidae","Microvelia",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Diptera","Chironominae","Orthocladine",1,10.76426265,0.075250326,0.810014273562124
"CRO","REF","72","10/21/23","> 1",4,"Coleoptera","Elmidae","Oulimnius(A)",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Coleoptera","Elmidae","Oulimnius(L)",1,10.76426265,0.081086867,0.872840333853618
"CRO","REF","72","10/21/23","> 1",4,"Plecoptera","Capniidae","Paracapnia",12,129.1711518,0.308138454,39.8025990170513
"CRO","REF","72","10/21/23","> 1",4,"Ephemeroptera","Leptophlebiidae","Paraleptophlebiidae",10,107.6426265,19.99961143,2152.81070330462
"CRO","REF","72","10/21/23","> 1",4,"Trichoptera","Polycentropodidae","Polycentropodidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Trichoptera","Polycentropodidae","Polycentropus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Diptera","Ceratopogonidae","Probezzia",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Coleoptera","Psephenidae","Psephenus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Trichoptera","Pupa","Pupa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Diptera","Pupa","Pupa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Diptera","Chironomidae","Pupa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Hemiptera","Veliidae","Rhagovelia",1,10.76426265,0.389940809,4.19742528602948
"CRO","REF","72","10/21/23","> 1",4,"Megaloptera","Sialidae","Sialis",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Gastropoda","Lymnaidae","Stagnicola",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Coleoptera","Elmidae","Stenelmis (A)",0,0,0,0
"CRO","REF","72","10/21/23","> 1",4,"Coleoptera","Elmidae","Stenelmis (L)",0,0,0,0
